s,iter,model,Estimation method,MSE,MSE_0,Feature importance
1,3,Interaction,IntCF,0.0456927303948779,0.2547347776337269,"[0.3345501632644262, 0.34489393826968046, 0.08785265136702101, 0.11891959763689834, 0.11378364946197383]"
1,3,LSS confounding,IntCF,0.0711075669582097,0.7904487906130103,"[0.5868775148835391, 0.09565310140796786, 0.08670203736910899, 0.1213761220126435, 0.1093912243267405]"
1,3,Linear,IntCF,0.0292807543478612,0.1487171532797302,"[0.12939482405057642, 0.5113264697851864, 0.11333645356280506, 0.12112065849705202, 0.12482159410438012]"
1,3,Mixed,IntCF,0.0762410113851965,0.2717809163994447,"[0.34605484743783416, 0.24291255834999315, 0.15110850642542956, 0.13879248519411047, 0.12113160259263267]"
1,5,Interaction,IntCF,0.0519855871835838,0.2498973151906189,"[0.3183247239576695, 0.28931409108315964, 0.1160199823346237, 0.14214152585127582, 0.13419967677327135]"
1,5,LSS confounding,IntCF,0.0401673496551648,0.6630313460059525,"[0.5351326551775022, 0.13267526337321664, 0.09562013115424203, 0.11790707985674044, 0.11866487043829885]"
1,5,Linear,IntCF,0.0132796183045975,0.1176462234816239,"[0.11201866114283092, 0.5264309524367442, 0.11265148966522251, 0.12203484772534721, 0.12686404902985524]"
1,5,Mixed,IntCF,0.0583403641947006,0.2430590897673088,"[0.4497878783854124, 0.19166787888872608, 0.13445802119937839, 0.09926720196045155, 0.12481901956603156]"
1,12,Interaction,IntCF,0.0465740874233113,0.2559980508754095,"[0.3019143472424516, 0.3426815090261112, 0.12375051051203456, 0.09868601497926346, 0.13296761824013917]"
1,12,LSS confounding,IntCF,0.0362469152046044,0.5966050439060339,"[0.5100933802116258, 0.1539968790001685, 0.1151908486355491, 0.10757280449010317, 0.11314608766255328]"
1,12,Linear,IntCF,0.0199136633679692,0.128622616933353,"[0.11959059444450576, 0.4607526903409835, 0.13978922327722415, 0.13931309377625573, 0.14055439816103085]"
1,12,Mixed,IntCF,0.0525412289839189,0.263185980441964,"[0.4065674755119275, 0.21557785474379657, 0.1293142168800062, 0.10639944566866238, 0.1421410071956074]"
1,10,Interaction,IntCF,0.0396988155072652,0.2507887096649976,"[0.3530102790846345, 0.3509759513398084, 0.1036334134861537, 0.08594351553204467, 0.10643684055735878]"
1,10,LSS confounding,IntCF,0.0483161286427384,0.6393905191319593,"[0.5045075563386531, 0.1587500051646403, 0.11965968643704515, 0.10298015174511249, 0.1141026003145489]"
1,10,Linear,IntCF,0.0180799276391284,0.1078436271170835,"[0.10519684866061997, 0.4689240065495869, 0.14164149663933132, 0.14924336977883418, 0.13499427837162767]"
1,10,Mixed,IntCF,0.1031657809770133,0.2404365163485643,"[0.295129463501721, 0.22621412352361342, 0.150282444517059, 0.14886539958184514, 0.1795085688757614]"
1,17,Interaction,IntCF,0.0367023531289937,0.2500170772123246,"[0.272512986381113, 0.39777819626868216, 0.10838574277110354, 0.11621676762171677, 0.10510630695738457]"
1,17,LSS confounding,IntCF,0.0386504534834877,0.6373897202482747,"[0.5474667445646998, 0.11819268406421758, 0.12713513821983116, 0.10002845873760755, 0.10717697441364389]"
1,17,Linear,IntCF,0.0172179645535004,0.1170232887964867,"[0.08375356738826333, 0.49412121133690284, 0.14025707323180547, 0.14575968683248078, 0.1361084612105476]"
1,17,Mixed,IntCF,0.0836595653038844,0.2763588088700175,"[0.3470617750442136, 0.22000558550074287, 0.1684853672532062, 0.14218120901504577, 0.12226606318679162]"
1,9,Interaction,IntCF,0.0568234019721369,0.2573748243950481,"[0.3479851832626935, 0.32783687963855135, 0.10749908413928792, 0.10764054574114096, 0.10903830721832626]"
1,9,LSS confounding,IntCF,0.0532555315966964,0.6153332510875809,"[0.5157666231515522, 0.16833550381246015, 0.09883946239485991, 0.10779384736448787, 0.10926456327663968]"
1,9,Linear,IntCF,0.0316868707440648,0.1307702305458185,"[0.10019995876710203, 0.48596109300552465, 0.14831226575026718, 0.13525983392591287, 0.1302668485511933]"
1,9,Mixed,IntCF,0.0887330774508023,0.2936005309296329,"[0.30655506253299225, 0.28064818864144037, 0.14074120642816515, 0.12277560389275095, 0.14927993850465118]"
1,1,Interaction,IntCF,0.0314144253056035,0.2505011178714998,"[0.3471944158250123, 0.33952028269982093, 0.10120752989185952, 0.10794606253674949, 0.10413170904655762]"
1,1,LSS confounding,IntCF,0.0521522362123715,0.6142001652522239,"[0.4992040771806294, 0.18821490073270006, 0.10976844013018149, 0.11184532589276597, 0.09096725606372308]"
1,1,Linear,IntCF,0.0165656861890977,0.1214839264961493,"[0.11215820956667891, 0.4549937691006224, 0.12867047011928576, 0.16297962728861973, 0.14119792392479324]"
1,1,Mixed,IntCF,0.0697190142630904,0.2697752345781548,"[0.3958391751452004, 0.1773665436545824, 0.14880257763974628, 0.15952155343201005, 0.11847015012846095]"
1,13,Interaction,IntCF,0.043491907992244,0.2505331434546543,"[0.3638597871114893, 0.3057680013414303, 0.1140005869892945, 0.11547880234164208, 0.1008928222161438]"
1,13,LSS confounding,IntCF,0.0998864826196381,0.7573541082293632,"[0.4043517568998538, 0.14900020700868138, 0.1690118934337122, 0.16195945325488809, 0.11567668940286441]"
1,13,Linear,IntCF,0.0175437333746362,0.1067019312651682,"[0.13056776055820668, 0.4234511640972718, 0.13904372714018284, 0.16635246234805642, 0.14058488585628237]"
1,13,Mixed,IntCF,0.0971621338901798,0.2733808515951881,"[0.2523839169656942, 0.25593327990120224, 0.15901323075090873, 0.1709638823555449, 0.16170569002665003]"
1,16,Interaction,IntCF,0.0528691223117345,0.2580702049473687,"[0.3134783128437958, 0.3483517231586742, 0.10576835570468923, 0.13239151225375054, 0.10001009603909031]"
1,16,LSS confounding,IntCF,0.0366216577114357,0.7736925154314731,"[0.5697861554761879, 0.13092272245578693, 0.09161589496577452, 0.10333175543837218, 0.10434347166387853]"
1,16,Linear,IntCF,0.0224747874502609,0.123808461327843,"[0.1295997204316687, 0.44266432814307427, 0.15057213681494194, 0.15429109481112757, 0.12287271979918754]"
1,16,Mixed,IntCF,0.0540731039984947,0.260639006525537,"[0.40329650546442236, 0.25081247068485185, 0.1226864722127131, 0.11264305643067463, 0.11056149520733799]"
1,0,Interaction,IntCF,0.0494349274660548,0.2498919112461471,"[0.33449547387324, 0.3222480149608958, 0.10518702985998854, 0.11829794438251792, 0.11977153692335775]"
1,0,LSS confounding,IntCF,0.0476137030680542,0.6267075919391245,"[0.49310812839673007, 0.1612305677592519, 0.11825724836549331, 0.12225186690948484, 0.10515218856903984]"
1,0,Linear,IntCF,0.0155864051377204,0.105134209001906,"[0.10332741633562863, 0.4395228758119476, 0.14963128726476455, 0.1658795591923627, 0.14163886139529663]"
1,0,Mixed,IntCF,0.0852124860658328,0.3253761999738379,"[0.4880684970029383, 0.15274304256268792, 0.15207508228018385, 0.08991681285802267, 0.11719656529616726]"
1,19,Interaction,IntCF,0.0690609144948465,0.2509725259455361,"[0.3235871070845648, 0.38586720413666514, 0.08911096880098343, 0.10442424118914541, 0.09701047878864119]"
1,19,LSS confounding,IntCF,0.0472962465821364,0.6524850839735077,"[0.5705586471791723, 0.1384199429488712, 0.10542319001369123, 0.08999712016432582, 0.09560109969393951]"
1,19,Linear,IntCF,0.0258670582649229,0.1124644631659232,"[0.0889382386037971, 0.5206505631280405, 0.12837801946998093, 0.14419203924450488, 0.1178411395536767]"
1,19,Mixed,IntCF,0.0992423696012566,0.3324634459148439,"[0.41187179857187667, 0.2866715410947656, 0.10015995015050569, 0.09532803454952195, 0.1059686756333301]"
1,6,Interaction,IntCF,0.0592721091040394,0.2549166543586018,"[0.2757521787779716, 0.3980072532732703, 0.09285479568647476, 0.10626435514741661, 0.12712141711486688]"
1,6,LSS confounding,IntCF,0.0513219972524987,0.6476927045702402,"[0.46211995874252615, 0.14671864787740058, 0.13707978321022316, 0.11867321111995939, 0.1354083990498908]"
1,6,Linear,IntCF,0.0201208094928113,0.1053353369653857,"[0.11622096762713059, 0.4232990292773736, 0.16085996020726204, 0.13634071044005483, 0.1632793324481789]"
1,6,Mixed,IntCF,0.0818224146693104,0.2970603746802364,"[0.3670274823723918, 0.2082213087305354, 0.17285253314126828, 0.12417267434283452, 0.12772600141297014]"
1,2,Interaction,IntCF,0.0413974424010427,0.2522098752733641,"[0.3112971449079016, 0.31174819757511557, 0.12324882693240542, 0.11724483125162871, 0.1364609993329486]"
1,2,LSS confounding,IntCF,0.0434956660550609,0.602416891730377,"[0.5773260402253911, 0.1100173048768482, 0.11439041363041509, 0.08331625789351019, 0.11494998337383533]"
1,2,Linear,IntCF,0.0170565215410042,0.1001761972307756,"[0.10595510439179352, 0.49365707590759444, 0.14560694068674246, 0.12311124606751635, 0.13166963294635334]"
1,2,Mixed,IntCF,0.0724289217152653,0.2894306428974743,"[0.43082094800294174, 0.19711717194454467, 0.1288768990793712, 0.08964612858135035, 0.15353885239179213]"
1,14,Interaction,IntCF,0.0436172921839068,0.2506847698423899,"[0.2929437995847922, 0.34783859731825933, 0.11756990005955997, 0.11609948433010628, 0.12554821870728217]"
1,14,LSS confounding,IntCF,0.0487446678341441,0.5645039835660529,"[0.5893304450984684, 0.12205284457691011, 0.09240681375004382, 0.08612915816727462, 0.11008073840730305]"
1,14,Linear,IntCF,0.0192866222890333,0.1087279009117511,"[0.10870930876539298, 0.5339981082740253, 0.13981065542585616, 0.10290065870970551, 0.1145812688250202]"
1,14,Mixed,IntCF,0.071366816865518,0.2687698938206018,"[0.3873738431828441, 0.261767563279014, 0.11819525553591734, 0.11685342458222378, 0.11580991342000058]"
1,11,Interaction,IntCF,0.0271695567218072,0.2498924412246147,"[0.34116765267837457, 0.331032845929499, 0.11188127763533513, 0.10329575172100737, 0.11262247203578386]"
1,11,LSS confounding,IntCF,0.0314492718244628,0.5613027290493262,"[0.5690704175583947, 0.11452270775085566, 0.11253118531712544, 0.09997957305286112, 0.1038961163207631]"
1,11,Linear,IntCF,0.0113129535492996,0.0886339833873677,"[0.0868712591539691, 0.4980362633976864, 0.1393067180759652, 0.12060702832683338, 0.15517873104554591]"
1,11,Mixed,IntCF,0.084973808344273,0.2952482287999574,"[0.3867747332543766, 0.20488070338289713, 0.1671361296433521, 0.1161347235046846, 0.12507371021468963]"
